,cat,label,review
58074,酒店,0,酒店的怪味根本无法忍受，设施也不方便，全然不是如家的风格，住了一晚就迫不及待地逃跑了，若不是酒店不肯退当天的钱，我连这一晚也决不会呆。
17080,水果,1,味道不错，好吃啊，苹果正宗，味道不错，好吃啊，苹果正宗，味道不错，好吃啊，苹果正宗，
33504,洗发水,0,控油很不给力，也没什么香味
43475,衣服,1,裤子质量蛮不错的，按照卖家介绍的大小也刚刚好！推荐购买！
47731,衣服,0,差评，我定31的，他给我发32的，靠
28261,洗发水,1,效果不错！值得推荐！用完还用VS！
44202,衣服,0,你们发货没看码数的？
25276,水果,0,*多6个苹果，苹果小，不甜，还没我去外面买*多一斤的苹果好吃
62544,酒店,0,几年前住过印象还可以，这回就也选的这家，没想到一点没进步还后退很多，设施老旧就不用说了，餐厅价格上涨离谱，搞一个什么内蒙美食节，结果大概45分钟后上来的羊肉根本不是烤的，用面包糠炸的，一小份158！还巨难吃！下回就算赶飞机也不会入住这家了
32701,洗发水,0,派送错误，经常给我重复派送_派送有漏洞，还不改进
1043,书籍,1,若能在孕期就看到这本书该多好呀！当然现在还不晚，只要能看到这本书的年轻父母们对很好的教育孩子来说，都不晚。本书不但说了如何教育孩子学习，更重要的是教孩子如何做人做事！怎样玩好，和谁玩好，都做了很好的例子。全面发展的孩子才更优秀！美中不足的是我又开始怀疑这本书是否是正版的？若是正版的，那出版商的校稿团队也太差劲了些，不但错字常出，连排行都能出错！真是有愧“（珍藏本）”的说法！！
35390,洗发水,0,不太好，洗了头要发痒，这种情况以前还从来没出现过的！再也不会卖了，失败的一次购物！
56045,酒店,1,酒店交通确实很方便，出门就是公交站点，去海鲜广场和第一市场很便利。虽没有自己的沙滩，但穿过大东海广场就是沙滩，还是比较近的。不足的是酒店隔音设施不是很好，而且酒店的打扫时间过早。
32921,洗发水,0,东西太忽悠人，到货芝麻绿豆小瓶，也不特别提醒，太过分了
18700,水果,1,每天一个果，疾病不找我。苹果不错，比超市便宜，买了几次了。还会一直买的。
31392,洗发水,0,感觉是假的，洗完一天头就特别痒，以前用的一直是这个牌子，这次买的刚用我家人都这样的反应，就是洗完第二天头皮就痒。
27339,洗发水,1,买了一次又一次，包装很好，里面的东西的话也很实惠，洗发水是正品啊，一直都在用这个套装而且京东的送货速度很快，早上下单下午就到了，立马就可以用上了，比超市要便宜很多！一直都很信任京东，大爱京东！
27728,洗发水,1,第一次买这个品牌的，味道还挺好闻的。昨天试用了一下感觉还不错
43820,衣服,0,面料很差，不值，很硬不透气，南极人？？？还是算了吧。。。
1502,书籍,1,和我们现在城市里的生活完全不洋的另一种人生 没有华贵的衣服 没有饕餮的美食 只有一间间寒冷山坳里的学校以及能读书的孩子们纯真的笑容~~  让我从新认识世界 重新定义价值观 无所谓金钱 我们应该坚定的选择我们自己所热爱喜欢的事物 许多人都有梦想 因为现实无法实现 可是 现在我们过得现实 确实自己选的~~ 说我们没有机会实现梦想 不如说是不敢，放不开现在 而不敢去冒风险实现梦想……
6898,平板,1,不错，画质清晰，大小合适！学习用够使！
45828,衣服,0,不好，感觉上当了
7851,平板,1,外观时尚，屏幕清晰，系统流畅稳定，电池耐用~~~
9343,平板,0,垃圾 玩意太卡
51592,计算机,0,VISTA系统用起来不熟练； 对比了一下，2G的内存运行VISTA系统还是比较快的。
18053,水果,1,配送速度超级快，货品正，价格比超市优惠，免去了超市购买超级长的排队结账时间~~~~~~~~~~~~~~~~~~~~~还送货上门，呵呵太省事啦！！！！！！！！
34467,洗发水,0,漏了，很差劲的一次购物，之前挺好的，这次是怎么了。晕死了，天辣噜，受不了。这个瓶子上还有很多灰，我的天啊！
58239,酒店,0,超烂，电视没台，早班车人爆满，挤不进去，差点晚点，酒店态度极差，环境一般 出租车很黑，4公里要一百
21801,水果,0,买了三个有两个坏的，说好的给补偿到现在客服也不联系，真心不怎么样。
49717,计算机,1,主要看中的是3600MHz系统总线，给升级预留了较大的空间，但还没做验证测试是否3600MHz的。性价比还不错。
45215,衣服,0,这么厚，还薄款，一颗星都不想给
1573,书籍,1,个人挺喜欢书中主人公们京腔味浓厚的说话方式，更佩服作者的那些经典台词作为休闲读物，绝对可以赞一个！整本书的内容还算是以一种轻松的方式从头至尾的缓缓写来，只是在最后安排了一点小小的意外，男主角的不告而别，当然最终的结局是喜局，可是又总让我觉得有一点点的牵强...可能是我从一开始就挺喜欢男主角，所以个人很希望作者能把这个人物再描写得丰富点，但同时又挺喜欢作者简单勾了的男主角，矛盾啊...
8824,平板,1,可以连wifi，信号不错啊
13709,平板,0,看视频画面不正常，看不到字幕。
32484,洗发水,0,一直在漏，一直漏，我崩溃，敢不敢质量好点
30066,洗发水,1,哈哈哈，还不错咯，下次再来。哈哈哈
31418,洗发水,0,包装不咋地，新买回来，瓶子里面的洗发水撒的哪都是，包装盒也有，瓶子上也有
49593,计算机,1,真的很轻薄，配个内胆包直接塞在自己平时用的包里都没问题。送的包包挺有档次的，做工也不错，毕竟是原装的，但是实在不是偶喜欢的风格，所以就舍弃了。呵呵~
23916,水果,0,这次的红色火龙果为什么送的这幺小
58323,酒店,0,主要为去机场方便，别的不要要求就可以
56690,酒店,1,外面的环境一般，到处是赶火车的人，下了机场大巴要走10多分钟到酒店。酒店的房间还是很不错的，干净整洁，空调也很好，服务还是挺热情的免费宽带，速度可以。离市中心很近，走路打的都行，打车7块钱到八一广场。总的来说还是值得推荐。
34634,洗发水,0,差差差差差差差差差差差差
36886,蒙牛,1,昨日去超市想买奶粉，就看看雀巢啊，伊利啊，蒙牛啊什么的，结果导购不断的说那就是香精调购的，这个也是那个也是，我就问那你说哪个好，她指着一个叫荷兰乳牛的，说是进口的，我一看也不贵，就拿了一盒。今天上网一搜，什么乱七八糟的消息都有，真不知道现在该吃什么喝什么了！
37416,蒙牛,1,绝对是蒙牛的老酸奶比如实好吃。
12702,平板,0,这有个缺陷，就是分辨率。看优酷，有一种虚像。
8486,平板,1,屏幕大，电池给力
34539,洗发水,0,赤裸裸的欺骗，什么价格保护啊，说过就不行，刚买两天后就降价。申请保护就说不在期间内。垃圾。以后不来了。
38452,蒙牛,0,一系列的丑闻表明蒙牛的管理层素质太差，公司治理混乱。消费者应拒绝购买其产品。
57969,酒店,0,环境吵，服务不好，入房时还给错房卡，进房时吓一跳，有人住，赶紧下楼问柜台说给错了。 进房间烟位非常浓，说要来做无菸处理，来了竟然说无菸处理就是将菸灰缸拿掉就好，烟味几天就会散掉，真是气死了，跟他理论后他才说要拿清净剂来喷，喷了后烟味还是很重，实在不能接受。前面在修马路路上泥巴很多。早餐是送到房里，不好吃。服务态度不怎样。房里的洗衣机不见了，怎洗衣服呢。
25968,水果,0,火龙果并不新鲜，外皮打蔫，而且已经软了，让我非常不满意，申请了优鲜赔！希望京东能够严格把关生鲜食品的质量
53884,酒店,1,酒店挺不错的，地理位置佳，交通方便，房间也很大，而且早餐算可以的了。下次来福州可能还会住这里。
10854,平板,0,垃圾，送个乐视会员卡，下个乐视app竟然总是自动闪退，问客服没人理，而且刚买回来就降价，还不给申请价格保护，说什么有赠品，现在999还不是一样有赠品，太气人了。
52876,酒店,1,我住的是488的商务套间，房间很大，环境不错，服务也很热情，感觉值四星。早餐现在加了牛肉汤，味道不错。淮南现在有了按5星标准建的新锦江大酒店，下次去试试。
59435,酒店,0,非常差劲！3101房间，电梯门口，走廊人来回噪音很大。窗外就是建筑工地，早上六点就开始施工，电钻声、工人吆喝声.。打扰休息。差评！
35583,洗发水,0,一点不值，第一次购买就晕了。
49245,计算机,1,性价比还是蛮高的，此本本在本地卖6999，前台优惠99元，估计找老板便宜个300~500就差不多了，京东的东东还真的便宜。
33345,洗发水,0,不是很好！洗过有头皮屑
16297,水果,1,太好的，这个好：一是物流快，包装好，没坏的，二是甜的很，好吃呀
