label	x_train
0	盒子外面脏兮兮，包装连个起泡膜都没有，还好里面没摔破，感觉像旧的一样，wifi功能不行，跟华为手机一样，没办法，这方面做的就是不如其他品牌，就图个价格吧
0	酒店前台服务差，很差，非常差！欺骗顾客！用204元无窗暗房偷替换已付了每晚239元有窗户的房间！顾客发现后前台服务员还不承认，这样的服务真是酒店的奇葩，差劲透了！
1	快递很快，裤子布料很滑很舒服，穿起来很好看！
0	看完后一个月，发现一个字都不在脑子里了。
1	裤子上身效果很好，摸着质量也还不错，穿着舒服的话还会再来
1	房间很干净 完全对得起3星的标准 服务态度也还可以 保安警觉性也满好 也满安静的 早餐很差 不是一般的差 除了早餐外 其他都满满意的。
0	写的送皮套，钢化膜，什么都不给邮，把人当傻子！
1	房间设施有些陈旧了。值得欣慰的是，宽带速度还可以。宾馆反馈 2008年1月14日 ： 感谢您对我们宽带的认可,其他方面我们也会努力,欢迎您再次光临惠顾!
1	以前在京东买过一个as5530的机器3999元。也是780g的主板，用起来还可以。这次给表妹挑机器，本来用不了什么独立显卡的，后来想象还是不错的，最起码看接等离子看高清不会卡了。这款机器就算价格便宜量又足了。 另外，这个机器没有摄像头（麦克风不知道有没有，机器拿到后忘了试了），可能许多朋友感到不舒服，对我来说正好。给读书的小妹妹用，本来就要限制她用QQ聊天，没了摄像头更是省的什么视频对话了。
0	我前两天刚把在实体店买的用完，今天说是用一下洗发露把，很稀，跟实体店的不一样，不知道是不是真的
1	非常好吃的苹果，不大不小，天天吃，买过很多次了
0	上次转机定了这家酒店觉得还可以，这次就又定了。但是这次真的很失望。地毯很脏，浴室的金属件都生锈了，床单被罩什么的好几个洞。二楼中餐点了3个菜一个汤。一个臭豆腐大肠，翻了半天只翻到两小点肠，其他全是豆腐；所谓的芥蓝不知道上的什么鬼，根茎类的东西；菌汤小的要死；看到这个情况，干脆把没上的那个退了。跟图片差太多了。跟餐厅经理沟通的时候，她竟然问真的没有大肠吗？我觉得菌汤没有问题啊。最后结账的时候竟然还收了茶水钱。根本就没问我们要不要茶水就给我们倒上了。总之以后再也不会住这家酒店
0	第一次买京东生鲜，选了五种，橙子三种，苹果两种。结果是4好1差。差的就是美仑达两公斤的橙子，有一端已经发黑，硬皮，切开一个，没怎么坏，就不想退了，但吃起来一股异味。第一次水果网购以失败告终。我就纳闷了，京东的员工们，这种货你们是怎么好意思寄给客户的呢，就不怕雷劈吗？
0	我有一款贝尔B601的小灵通，使用了不到3个月，显示屏就炸了。没摔过的，外面一切完好，没有损伤的。我也不知道原因，也没去维修，我是做业务的，电话多一点，拿过去维修业务就要中断了。本人开始认为要支持民族品牌，用国产的。现在才知道太幼稚了！国产的质量太差了，售后服务也不完善。即使是保修，也是推三阻四的，这是国人的通病！我也不会去维修了。。。忠告：买通信产品还是不要买国产的号，说得天花乱坠也不要相信他，本人是不会再买的了。。。
0	是假货吧！洗完吹干头发，用手一抹全是油，而且里面的洗发液特别水！不建议买，赶紧换回原来的洗发水！浪费钱?
1	还不错不过home键用着不太舒服，不像手机那样后台操作比较麻烦，总体上还是不错的
1	用经济实惠的价钱购买品质上档次的产品，确实是非常好的一次购物体验。一下子就购买了两套，快递小哥也确实给力，下单到送货上门12小时不到。给家里人买的，用后再来追加使用评论。
1	第二条裤子，质量很好，很适合穿，跟网上看的一样，很舒服
0	京东就是垃圾，产品垃圾、服务垃圾、诚信垃圾！
1	也是帮朋友买的第二台华为产品，质量很好，价格合理，推荐
0	无语，京东上也会卖假货，这下我相信了，还找了好多水军，认了，大家不要买！不要买，绝对是假货！！！！京东你有点良心吗？自营店买假货！！！！！
0	买了两条说好的送皮带没有送
1	不错，方便快捷，包装很好，一看就是正品。
0	超级难用，洗完头发还是油油的，像没洗一样1，超级不舒服
1	物流还可以，商品与描述相符，吃起来还行，五星好评！
1	很好的商品，家庭必备
0	真的再不敢到京东买火龙果了…上次买了3个红心的，第4天早上就有两个发霉长虫流水了，恶心得我都没拍照。这次又买了3白三红，14号到的，当天吃了个白的，稍微有点酸吃完了。昨天吃了个红的还可以，今天这个白的外面就烂了，吃了里面一口酸的全扔了。    上次以为是我保存的原因，这次肯定不是这个原因了，我在水果店买的放一个星期都没事。
0	床上用品太陈旧，天气潮湿后导致感觉黏糊糊，空调抽湿也无法改变，整晚都未能入睡。 酒店接送车非常准点，司机师傅帮助放取行李箱。 酒店早餐比较丰盛
1	这个口感不错，为啥子你总能发现好喝滴哇，我已经追随你喜欢好多饮料啦，脉动，红牛，蒙牛优益C,旺仔牛奶，还有我们都喜欢的最原始的津威@小苗苗Yimo
1	房间超大又便宜，唯离市区有点远，附近能吃饭的地方少，比较不方便。倒是服务人员服务态度不错。
0	不好！当时买的时候是送几样配件赠品的，其中包括电脑支架，结果收到什么都没送，失望，京东不讲信用，早知道在其他店买了，价格低还有赠品
1	蒙牛牛奶一箱已收到，灰常感谢院长 知道俺是食肉动物啊但有一点不明白明信片上的日日须心是几个意思啊
0	假的，起头皮屑还很痒。千万别
0	第一次从网上买水果，真是醉了，这种成色的水果在超市里我连看都不看，真是糟糕的体验
0	现在知道不能在京东买衣服的原因，太差，不仅仅是有些掉色，放水里就成黄褐色的了。图片是洗了三次后的。    直接丢了！
0	这牛仔裤质量特别差，做工一点都不精细，服务太度也不好，给他发信息过好几天才回，实物和图片上不符，物流更别提了，太慢了，真后悔买这条裤子，不值这个价，穿着难看，大家千万别上当
1	本来是买来学习教育孩子的,结果看完后总是不自觉的拿来比对身边的成人.因为文中的理论被现实应证了,感到中国的教育真的需要改进.当然是在现有的好的基础上吸收更多新鲜的元素.文章中的案例能帮助我正确理解这蒙式的教育理念,希望我能正确的运用,并坚持不懈的执行.但愿我的孩子的未来比我们的更光明.如果作者能写些爷爷奶奶级能接受的书就更好了,这样孩子的生活会更统一更完整.谢谢作者!!
0	今天刚刚拿到手就先试用了下，就是下载软件之类的没有玩游戏，还不到半个小时手机的一半就已经发烫到手不敢碰了，真的是冰和火的组合
1	货已收到，还不错就是快递慢了点
0	不行质量太差了，线头超级多。
1	不错!面料和包装都很不错!下次再来
1	苹果大小均匀，水分充足，脆甜，快递比较心细还拆包一个个看
0	4.18下的单子，送给我的卡截止日期是3.30，如下图，而且到处找不到怎么解决，京东，醉了
1	水分足，不错，甜，下一批可能更好吃。有坏的京东给补偿，服务好
1	很好的板，很漂亮的衣服，很合适的面膜。5.2寸的荣耀小七和他的姊妹8.4寸板M3。
1	质量不错，还没用到。先存着，后面追加评论
0	反应有些迟钝，作为华为老用户，没感觉到华为的进步。
1	老牌子，性价比还可以 虽然中关村有号称更优惠的价格，最终还是选择了京东
0	差评，买回来不到20天，昨晚开不了机，充不进去电，什么玩意，客服也没人理，平时玩的时候屏幕不灵敏，像素还差。
1	配置还是可以的，这个价钱也算高性价比了！ 散热不错，连续用几个小时只有底面有点热。
1	穿的大小也正好。质量不错没有问题。超棒。
0	跟风的人总是很多，这一次也跟了一把，不出所料，内容平平不说，一点可读性也没有
1	机器还可以，手感也不错，外观有三种可选择：太空银、玫瑰红、宝石蓝，外屏4096色,内屏很大，65536色，亮度足够。
0	都漏出来了，这包装真行。
1	一直都在使用这个牌子,收到之后味道还是一样的,还很划算哦！比在超市买的便宜多了，值得推荐
1	不论书的内容还是内容的排版，书的封面设计和书的纸质等各个方面都非常喜欢。快递送货的速度也很快，每次都能享受快递员的“微笑服务”，书送到的时候，我迫不及待地打开，书的外面还附有一层薄薄的白色塑料膜包装，看着心情非常愉悦！物超所值！同时这本《三字经》也很适合收藏！建议还没有买的以及还在犹豫是否购买的尽快购买！(*^__^*) 嘻嘻…，好像在打免费广告。以后继续支持当当！希望当当继续发扬！
0	大小适合 质量也很好
1	东西不错，不过618所谓的满199-100，直接提价到128一瓶而且没有赠品。才过两天就变成79一瓶而且还赠送两瓶小的，提价再卖。以后再也不敢相信什么打折了。
1	信赖华为，国产大品牌，好用，送家人朋友正好
0	水果很不新鲜，果皮和底部发霉腐烂，外皮是很干的    太烂了，发霉了，以次充好，再也不在京东上买水果了
1	男朋友穿上很帅，裤子蛮合适的，料子不错，下次还在店主这里买。
1	还可以，离汽车站也很近。离轮渡也很近，也比较干净。起先我预定了厦门元利酒店，结果上网还有时间限制就取消了，预定银河商务酒店，靠，服务垃圾极点，房间象招待所，比起恰年两家，着家才算是个酒店，不错，强烈推荐
0	穿上很舒服的，质量不错是正品，老板发货很快的，没有色差，好评。
0	送货太慢了
1	尺码比推荐的略小，建议买大一号
1	裤子很不错啦，五颗星，嘿嘿，喜欢的亲们赶紧买吧哈！
1	这个手机有我没有想到的功能．以前以为电视上是片人的呢．见到后才知道这些功能真的可以实现．售后服务人员热情．
0	今天中午就拿到了，是正品，开了机玩了会，真给力
1	沙宣的这款洗发水是真不错，洗了头发感觉保湿效果不错，老公还说这个洗发水还挺好的，正好搞活动买的还挺划算的，一直信赖京东，京东的快递服务也不错，小哥挺热情
0	不脆。不甜。汁不多。确定是烟台栖霞的红富士？
0	"今天买了九个有一个表皮有些烂我还能接受，但是购买的山竹和蓝莓坏的太多了，我真是无语O__O""…看来你离消费者越来越远了！不再是当初在京东相识的你了！！"
0	6芯变3芯！！！京东说送礼物包？？系统安装麻烦，还有做工有点差啊，那两个开关（电源，无线）好像玩具开关，OEM系统又不贵，完全应该考虑上XP版！底部好热！LED指示灯刺眼！
1	嗯，不是特别新鲜，皮上有黑点点，但是里边没有坏很多，嗯，网上买水果可能还是不太方便跳。
0	这就是车里那个鬼玩意儿，明明盖好了还会自己打开，还会自己漏出来，什么鬼东西
1	是正品，修复受损发质功能不错，也喜欢香味
1	平板很好，用起来很方便。
0	音质不错，但是wifi断流太严重了，时不时的闹一下，差评！
0	垃圾快递。。居然3天才送到，我地址距离你们服务点就几百米，居然不送货，，垃圾，差评。。。气氛，差评差评
1	昨天订的今天就到货快递小哥真给力，还没开始使用，只有用后在追评了，就是怎么没有开发票，按理说电子产品发票应顺产品一同寄出的。
1	京东神券买的，半价才*。清扬用用也蛮好的，谢谢快递小哥送上门
1	外型倒是很不错的，手感很好。
0	穿上不透气，穿着，浑身冒汗，把我内衣都汗湿了，质量很次，便宜没有好货。下次再也不买了。
0	太差了，前台服务员太差了，所有的服务员都太差了，扣分，应该扣分
0	就是这次的送货员态度有点不好，可能是因为忙吧，希望以后不管怎么，能好好说话
1	收到挺好的，配送员是老熟人啦，让我每一个都验货啦。很新鲜。比起上次在一个App团购的一箱苹果，这个不知道不知道要好多少啦。
1	首次入住该酒店,整体环境很优雅,房间不错,离车站很近,总台服务态度很好.
1	除了水忽冷忽热，其他都可以，安静，交通方便，周围吃饭也好，下次还会继续住他。楼下有公共车直达火车站和冰雪大世界，机场大巴到康安路站后也离这个酒店很近
1	这个苹果一吃就知道是胶东半岛产的，水份充足，糖份含量自然是没法和黄土高原的苹果相比较了，比一般的小超市购买的要放心，苹果表面一点都没有打蜡！
0	硬盘响声比较大，能听到较大的可可声。不知道大家有没有这种问题。机器发热比较大，键盘中间按键比较松，一按下几个。
1	第二次买这个，超级实惠，感觉之前的买的有点贵了?这次还赠送了六小瓶试用的
1	买来看书用的还算满意。
0	快递送到了为什么不打电话？难道你手机没费了吗？我都不知道谁签收了，后来家里人签收了
0	是的，第一次买的还好，第二买就是这种狗屎，没有第三次了！
0	假货，假货，假货，跟我在实体店买的完全不一样，气死了
0	屏显效果不好，在背景处可以看到有明显的花点，不过字体显示倒是没什么问题。这只机子虽然有外置的扬声器，但是效果不是很好，音量太小了，接耳机听还行
0	反正不是很满意
0	不好不知道放多久了 柠檬也是烂的
0	买了三次。苹果一次比一次小，人与人之间最基本的信任呢？
0	非常差劲！3101房间，电梯门口，走廊人来回噪音很大。窗外就是建筑工地，早上六点就开始施工，电钻声、工人吆喝声.。打扰休息。差评！
0	一直在漏，一直漏，我崩溃，敢不敢质量好点
0	这次苹果不怎么好，但是京东的售后没话说。还会继续支持京东的。
0	表皮看上去没坏，切开肉全部坏掉了，要求换货
1	很香的味道，吃起来一定很美味。最近的苹果价格都贵，赶上618这个价是很实惠的
1	这是一本实用的书，以其简洁的语言附着孟德斯鸠的背景、生平等，并简述其他作品，恰似一本传记的简写本！《论法的精神》其主旨：反教会、反专制、三权分立、地理环境决定论等，一一体现。可以称为孟德斯鸠《论法的精神》妙语、心语集。对于想了解孟德斯鸠，但却囿于时间与精力去翻阅原著的朋友来说，这是一个不错的选择！其中涉及到中国的成分，也堪称本书的优点！
1	价格相对优惠，质量不错，支持一下~
0	一切一般般，只是在机场附近过夜，不如浦东机场里面的那个宾馆。
0	这次买的水果最差劲，一点不新鲜，俩个发霉坏掉了，扔了，差，差，差
1	物流很快，转天就到货了，挺甜挺脆不错
1	一直用这个牌子的，很好用，京东商城，值得信赖
0	总体一般，不要住窗子开在走道上的房间，酒店提供到机场和火车站的小巴车，但是一定要早去排队，不然可能没位子
1	亲们，这款苹果质量不错，而且很新鲜    包装的很好，京东送货很快 到的时候冰冰的 赶紧放进冰箱，值得购买哦，有轻微的碰伤一点，好方便这样购买的话
1	大品牌。值得信赖，一直买它，很好用啊！！！！！哈哈，，不错，哈哈！！！
